Review,Nature
"Overall Build Quality is awesome I accidentally dropped it sometimes but these airpods are made up with hard plastic so they won't break easily. And each airpods weight only 4 grams so they damage themselves when dropped from a height as they are so lightweight to cause any damage. If you use an external case like I have then that will be good for outer protection from scratches and drops plus it looks cool though.Talking about battery life again it is solid If you are a casual listener they can last up to 3 days if you listen 6-8 hrs daily.and finally, the sound quality its good but not that good which you get from the in-ear earphone but as you know in-ear earphone are not that comfortable, it has a strong base and high mids so you won't be disappointed by the music quality.
            ",positive
"Wow!!! These are the best accessories which I have used with my iPhone. I do not know what magic has apple done with the W1 chip but boy oh boy that make these so easy to pair with the iPhone, lighting fast. The sound quality is okayish. Not too much base and at times the clarity is also not very good. The battery life of these are also great and the charging case improves it further. The charging speed of these are also very good. They charge very quickly. These are also very easy to carry. These fit my ears perfectly but this might not be for everybody as they come in one size only. Also these are very comfortable .The ear detection works 100% of the time, making this a joy to use with apple devices. The tap commands on the AirPods also work great. But the AirPods  are neither noise cancelling nor water resistant. I have not used these with android so cannot comment on that.
            ",positive
"Awesome sound with great clarity and best bass.The only problem is that it will not connect to 2 devices simultaneously.
            ",positive
"First i have orderd and i have recieved fake one be careful withit and i returned and replaced now its workng perfectly make sure check wthertee its oriignal or not
            ",positive
"Product worth 699Price charged 12500I bought the same product earlier from Club Factory and gave it back (because it was of low quality). Surprised to see I got the EXACT same product despite paying 200 times more.
            ",neutral
"I have been using this airpods since a month and writing my review now i really like how it paired with iphone not tried with any other phone yet. Frankly its a delicate product i dont know about the durability. Sound quality is good come on its apple and you are paying 12k, but it could have been better with more bass. Battery life is pretty decent but one side of the airpod gets discharge fast then both i dont know its a faulty product or it happens with everyone. For noise cancellation i haven’t check properly while on calling other side of the person i didnt find any problem while talking through airpods. And for music noise cancellation is decent i wont say very good but decent it is. Now talk about stratches even if you put in your pocket gently you can see scratches after few uses. I dont know about silicon cases available and selling on amazon works well or not because i didnt try. Also i dont like to put apple products with cases. Finally in your initial days of using u will feel irritating after long use i would say 2 3 hours of continous use. Pro tip: moisterize your ears with  good moisterizer (little quantity) if your are planning to use for long. Ok guys thats it for now i hope this review will others to choose this product.
            ",positive
"This is second to none ..Connect well with my.Old iPad , Windows Laptop and OnePlus 3T . Sound Quality is pure Bliss .No issues with connection or sound skips .
            ",positive
"Love it! Fits seamlessly in my ears. Don’t have to bother charging it. Sound is the best one can find. I have it on all the time and each time it connects with no difficultly. Goes perfectly with my 8 Plus.
            ",positive
"Have been using it from 2 months, One of the best product, sound is just amazing. Battery life is good, it easily lasts for 3 hours & if AirPods battery is low put it in the case for 10 mins it again gains 70-80%. We just need to remove the airpods from the Case and it Auto connects to Iphone smoothly. Got it during Amazon sale period with SBI cashback for 9K, totally worth it.
            ",positive
"Overall Build Quality is awesome I accidentally dropped it sometimes but these airpods are made up with hard plastic so they won't break easily. And each airpods weight only 4 grams so they damage themselves when dropped from a height as they are so lightweight to cause any damage. If you use an external case like I have then that will be good for outer protection from scratches and drops plus it looks cool though.Talking about battery life again it is solid If you are a casual listener they can last up to 3 days if you listen 6-8 hrs daily.and finally, the sound quality its good but not that good which you get from the in-ear earphone but as you know in-ear earphone are not that comfortable, it has a strong base and high mids so you won't be disappointed by the music quality.
            ",positive
"Wow!!! These are the best accessories which I have used with my iPhone. I do not know what magic has apple done with the W1 chip but boy oh boy that make these so easy to pair with the iPhone, lighting fast. The sound quality is okayish. Not too much base and at times the clarity is also not very good. The battery life of these are also great and the charging case improves it further. The charging speed of these are also very good. They charge very quickly. These are also very easy to carry. These fit my ears perfectly but this might not be for everybody as they come in one size only. Also these are very comfortable .The ear detection works 100% of the time, making this a joy to use with apple devices. The tap commands on the AirPods also work great. But the AirPods  are neither noise cancelling nor water resistant. I have not used these with android so cannot comment on that.
            ",positive
"Awesome sound with great clarity and best bass.The only problem is that it will not connect to 2 devices simultaneously.
            ",positive
"First i have orderd and i have recieved fake one be careful withit and i returned and replaced now its workng perfectly make sure check wthertee its oriignal or not
            ",positive
"Product worth 699Price charged 12500I bought the same product earlier from Club Factory and gave it back (because it was of low quality). Surprised to see I got the EXACT same product despite paying 200 times more.
            ",neutral
"I have been using this airpods since a month and writing my review now i really like how it paired with iphone not tried with any other phone yet. Frankly its a delicate product i dont know about the durability. Sound quality is good come on its apple and you are paying 12k, but it could have been better with more bass. Battery life is pretty decent but one side of the airpod gets discharge fast then both i dont know its a faulty product or it happens with everyone. For noise cancellation i haven’t check properly while on calling other side of the person i didnt find any problem while talking through airpods. And for music noise cancellation is decent i wont say very good but decent it is. Now talk about stratches even if you put in your pocket gently you can see scratches after few uses. I dont know about silicon cases available and selling on amazon works well or not because i didnt try. Also i dont like to put apple products with cases. Finally in your initial days of using u will feel irritating after long use i would say 2 3 hours of continous use. Pro tip: moisterize your ears with  good moisterizer (little quantity) if your are planning to use for long. Ok guys thats it for now i hope this review will others to choose this product.
            ",positive
"This is second to none ..Connect well with my.Old iPad , Windows Laptop and OnePlus 3T . Sound Quality is pure Bliss .No issues with connection or sound skips .
            ",positive
"Love it! Fits seamlessly in my ears. Don’t have to bother charging it. Sound is the best one can find. I have it on all the time and each time it connects with no difficultly. Goes perfectly with my 8 Plus.
            ",positive
"Have been using it from 2 months, One of the best product, sound is just amazing. Battery life is good, it easily lasts for 3 hours & if AirPods battery is low put it in the case for 10 mins it again gains 70-80%. We just need to remove the airpods from the Case and it Auto connects to Iphone smoothly. Got it during Amazon sale period with SBI cashback for 9K, totally worth it.
            ",positive
"Got it this morning and in complete awe of them. This is a pocket size powerhouse. The sound output is insanely good. Wasn't expecting it to be so good, the sound doesn't get distorted even on max volume. They are small, good looking and extremely handy to use. Bluetooth pairing is as easy as it can be. The charging pod is simplistic yet elegant. Got it for 11k by using SBI card. They're practically a steal at the price. 10/10 recommend.
            ",positive
"Works like a dream. Almost no connectivity issues - very intuitive to use.Sound quality is pretty decent. However it has issues with noise isolation and it’s almost impossible to use in the middle of traffic for example.It’s pretty durable, I’ve had doubts about the durability of the case. Especially because of the small size, but I haven’t had any reason to worry so far.Pretty decent battery life. It’s not as good as my larger over-ear headphones but given the size it’s good. Using it for max of an hour a day, I end up charging it once in two weeks or so.Would I say it’s value for money? No.But if you need a small, easy to carry wireless earphones - this is a pretty good experience. It’s worth it for me.
            ",positive
