Review,Nature
"I got it for 19000 .So every thing is fine
            ",positive
"My life has become hassle free and organized due to this unique device, i have gone 60%paperless, jotting down on it is extremely easy and user-friendly,if you are a student and want to stay organized going paperless, i suggest you to have it in your kitty.The only drawback that i find is lack of unpaid apps and the fact that you won't be able to pay with RuPay in app store.
            ",positive
"Got it for 21k during the sale period. Awesome product.
            ",positive
"The iPad is brand new and it's considerably bigger than my previous iPad mini 2. The functions are buttery smooth. My main purpose of gaming is easily met. I have installed asphalt 9 and PUBG and playing without any lag for hours.Only problem I faced is the left corner of the screen shows a yellow tint. I read on the internet about it. It's because of the glue that sticks the screen together. It will fade away with time. Mine is started getting faded.I bought it in great Indian festive sale with effective price of 18990. This is in my opinion the best deal for an iPad with this specifications.
            ",positive
"Verdict: iPad 6th generation (2018) is a nice tablet with great hardware and software. For most of us, perhaps this is the best choice for a tablet. The only real competitor of this tablet is the iPad 10.5&#34;, which has better hardware but is much more expensive.Following is my detailed review of iPad 6th generation (2018):Hardware:--------------------No surprises here. Apple always makes great devices.- Build quality is good.- Touchscreen is excellent.- Front and back cameras are good but not exceptional.- Sound quality is decent, but it could have been better.- Battery backup is good.- Touch id works fine.- Improved CPU and GPU enhance the overall responsiceness of Apps (especially games)Software:--------------------iOS is simply outstanding. Software is the primary reason I purchase Apple devices. My device already had iOS 11.3 installed out of the box.Things I noticed in iOS 11:1. The dock at the bottom of the screen, which looks similar to the dock of macOS.2. Control center design has improved.3. App store has been revamped. Personally, I liked the simplicity of the old app store better.4. The software keyboard design has changed.What's included in the box:--------------------Only two accessories are included in the box:- A 10w charger- A lightening to usb cable.They have not even provided earphones:).Apple pencil is NOT included in the box.If you want one, then you will need to purchase separately which will cost you INR 7.5K. I did NOT purchase the apple pencil. I didn't want to spend this much money for the pencil and I don't think I would have used it much even if I had purchased one.Which variant did I choose:--------------------32 GB, Wifi only, Space Grey.32 GB: It is more than sufficient for my requirements. If you store lots of data then consider the 128GB variant.WiFi only: I have limited use case of 4G model and so I didn't want to spend extra 10K for 4G model.Space grey: I like black bezels. I find white bezels little bit distracting.Accessories I purchased:--------------------The only accessory I purchased is the Spigen Tough Armor Case. This case is good, but it is a somewhat heavy.Shipping and packaging:--------------------I purchased this device from seller &#34;Appario Retail Private Ltd&#34;. I ordered the device in the morning and I received in the evening. This was super-fast. The packaging was great.What are the alternatives of this iPad:--------------------There is hardly any choice if you want to buy a tablet. I think the closest competitor of this particular model is the 10.5&#34; iPad pro which is very costly as compared to this.Why did I purchase:--------------------I already have a 4th generation iPad which I purchased in 2013. My experience with this iPad has been great. Apple provided software updates on this device till last year (2017), which is amazing.So why did a purchase a new one? The old iPad still works fine but it doesn't get software updates anymore. In my opinion, it is best to move away from a device in which you do not get security updates.What do I use iPad for:--------------------I use iPad primarily for content consumption and not for conent creation. For example I don't compose long emails or edit videos on my iPad. I also don't use the camera of iPad much.I use iPad for:Watching videos: On Netflix, Hotstar, YouTube, Amazon Prime VideosWeb surfing: I use both Safari and Chrome. I like the &#34;reader view&#34; mode of SafariGames:Should you buy a new iPad:--------------------In my opinion, if you already have an iPad in which you are getting software updates then you should perhaps not buy a new one.If you want one and don’t already have one, then you can consider this. Except for the much more expensive iPad pro 10.5”, this is the best tablet currently available.Let me know if you have any queries.
            ",positive
"Best playing Pubg.
            ",positive
"Bought it for a Higher price 27K. Now its 23K. I bought it for Portrait painting 'cause it would be the cheapest ever display tablet (considering the price of the Apple Pencil) Besides that Screen looks Good, Battery is good most of the times (8000mAh btw) no heating whatsoever, speakers are good and it has headphone jack. Bad thing is it has the worst camera in any apple product. Its a really good buy if you are a newbie in digital and it is a great start for it.
            ",positive
"I got it for 19000 .So every thing is fine
            ",positive
"My life has become hassle free and organized due to this unique device, i have gone 60%paperless, jotting down on it is extremely easy and user-friendly,if you are a student and want to stay organized going paperless, i suggest you to have it in your kitty.The only drawback that i find is lack of unpaid apps and the fact that you won't be able to pay with RuPay in app store.
            ",positive
"Got it for 21k during the sale period. Awesome product.
            ",positive
"The iPad is brand new and it's considerably bigger than my previous iPad mini 2. The functions are buttery smooth. My main purpose of gaming is easily met. I have installed asphalt 9 and PUBG and playing without any lag for hours.Only problem I faced is the left corner of the screen shows a yellow tint. I read on the internet about it. It's because of the glue that sticks the screen together. It will fade away with time. Mine is started getting faded.I bought it in great Indian festive sale with effective price of 18990. This is in my opinion the best deal for an iPad with this specifications.
            ",positive
"Verdict: iPad 6th generation (2018) is a nice tablet with great hardware and software. For most of us, perhaps this is the best choice for a tablet. The only real competitor of this tablet is the iPad 10.5&#34;, which has better hardware but is much more expensive.Following is my detailed review of iPad 6th generation (2018):Hardware:--------------------No surprises here. Apple always makes great devices.- Build quality is good.- Touchscreen is excellent.- Front and back cameras are good but not exceptional.- Sound quality is decent, but it could have been better.- Battery backup is good.- Touch id works fine.- Improved CPU and GPU enhance the overall responsiceness of Apps (especially games)Software:--------------------iOS is simply outstanding. Software is the primary reason I purchase Apple devices. My device already had iOS 11.3 installed out of the box.Things I noticed in iOS 11:1. The dock at the bottom of the screen, which looks similar to the dock of macOS.2. Control center design has improved.3. App store has been revamped. Personally, I liked the simplicity of the old app store better.4. The software keyboard design has changed.What's included in the box:--------------------Only two accessories are included in the box:- A 10w charger- A lightening to usb cable.They have not even provided earphones:).Apple pencil is NOT included in the box.If you want one, then you will need to purchase separately which will cost you INR 7.5K. I did NOT purchase the apple pencil. I didn't want to spend this much money for the pencil and I don't think I would have used it much even if I had purchased one.Which variant did I choose:--------------------32 GB, Wifi only, Space Grey.32 GB: It is more than sufficient for my requirements. If you store lots of data then consider the 128GB variant.WiFi only: I have limited use case of 4G model and so I didn't want to spend extra 10K for 4G model.Space grey: I like black bezels. I find white bezels little bit distracting.Accessories I purchased:--------------------The only accessory I purchased is the Spigen Tough Armor Case. This case is good, but it is a somewhat heavy.Shipping and packaging:--------------------I purchased this device from seller &#34;Appario Retail Private Ltd&#34;. I ordered the device in the morning and I received in the evening. This was super-fast. The packaging was great.What are the alternatives of this iPad:--------------------There is hardly any choice if you want to buy a tablet. I think the closest competitor of this particular model is the 10.5&#34; iPad pro which is very costly as compared to this.Why did I purchase:--------------------I already have a 4th generation iPad which I purchased in 2013. My experience with this iPad has been great. Apple provided software updates on this device till last year (2017), which is amazing.So why did a purchase a new one? The old iPad still works fine but it doesn't get software updates anymore. In my opinion, it is best to move away from a device in which you do not get security updates.What do I use iPad for:--------------------I use iPad primarily for content consumption and not for conent creation. For example I don't compose long emails or edit videos on my iPad. I also don't use the camera of iPad much.I use iPad for:Watching videos: On Netflix, Hotstar, YouTube, Amazon Prime VideosWeb surfing: I use both Safari and Chrome. I like the &#34;reader view&#34; mode of SafariGames:Should you buy a new iPad:--------------------In my opinion, if you already have an iPad in which you are getting software updates then you should perhaps not buy a new one.If you want one and don’t already have one, then you can consider this. Except for the much more expensive iPad pro 10.5”, this is the best tablet currently available.Let me know if you have any queries.
            ",positive
"Best playing Pubg.
            ",positive
"Bought it for a Higher price 27K. Now its 23K. I bought it for Portrait painting 'cause it would be the cheapest ever display tablet (considering the price of the Apple Pencil) Besides that Screen looks Good, Battery is good most of the times (8000mAh btw) no heating whatsoever, speakers are good and it has headphone jack. Bad thing is it has the worst camera in any apple product. Its a really good buy if you are a newbie in digital and it is a great start for it.
            ",positive
"Perfect. The new screen is better for pen use than the old one. I don't know why but certainly feels that way. 32gb plus cloud storage account and wifi from phone's hotspot... Perfect to save money
            ",positive
"This is my first apple product. I am amazed with the build quality, technology, feel and look, etc. Except that ipad does not support external mouse. I have got a suitable keyboard and have made it into a mini laptop. It looks amazing and solved my purpose. Thanks to Amazon for single day delivery and amazing customer service. I tried all accessories thru Amazon and chose the suitable one. Thanks for Amazon's patience. Got this iPad for 19k after all discounts during festive offer. Real value for money for Apple product.
            ",positive
"Apple products are always so worth it.. I just bought my iPad in this sale it costs me 20k ( a real good deal).. and I'm absolutely in love.. I've always been a android user, and then too it didn't took me anytime in getting use to it..  I mainly use it for reading purpose and for making notes.. I'd suggest you to buy it along with the pencil( only if you have some extra cash with you).. it's good for jotting notes and it will make you go absolutely paper less ( ecofriendly, right?)
            ",positive
"After a week I am writing this reviewAfter placing the order order within 24 hours I got my iPad, Amazon fast delivery that is one day delivery.There is no sim option and even can't use WhatsApp but still there are numerous work which we can do with this tablet,This iPad provides you each and every feature which a normal tablet provides you and some more features also which computer provides you.If you are tablet lover or looking any portable medium to access and edit your files on big screen this is for you.
            ",positive
"Apple products are just hyped up overpriced products but the iPad is an exceptionExcellent battery life and stand by times. Best value for money tablet for 21k.Miles ahead of any Android tablet I have used for surfing, gaming, reading and misc stuff
            ",positive
"The device just oozes of class.I have been a fan of iPads for years now and after owning one I must say it’s a Beast!!! The battery on this thing is unbelievable, i usually charge it every 2-3 days depending upon my usage but on an average I do get a screentime of 10hrs. I don’t know why people are saying the camera is bad coz after using it for 10 days I can say that it’s comparable to my iPhone 6s Plus camera.Ps : The charger you get with the device is 10W , so if you own an iPhone it’s a bonus as you can fast charge your phone�
            ",positive
"This is my second iPad purchased from amazons. I upgrade my iPad mini 2 to iPad 2018 since it support Apple Pencil.I got it on offer price.₹22000 on amazon . it’s  showroom price is ₹28000.When I bought it I got afraid that it got larger screen and it will consume more battery. But nothing to worry, it have good better life.I use it more the 7 to 8hr max in daily still battery doesn’t exhaust. Overall awsome product.
            ",positive
"Seller not Good. The IPad felt like it was a China replica with device freezing too frequently
            ",negative
"Do you really need a tablet? Are you committed to get into the Apple Ecosystem where you cant interact with all other Windows or Android based devices with ease? Are you ready to spend a good amount of money for accessories?If yes, then go for it....It will never replace your Computer..Transferring files are a hassle..I bought it for strictly entertainment purpose and occasional cloud based office work and its holding just fine..Keep your use in mind before buying..
            ",positive
"I got it for 19000 .So every thing is fine
            ",positive
"My life has become hassle free and organized due to this unique device, i have gone 60%paperless, jotting down on it is extremely easy and user-friendly,if you are a student and want to stay organized going paperless, i suggest you to have it in your kitty.The only drawback that i find is lack of unpaid apps and the fact that you won't be able to pay with RuPay in app store.
            ",positive
"Got it for 21k during the sale period. Awesome product.
            ",positive
"The iPad is brand new and it's considerably bigger than my previous iPad mini 2. The functions are buttery smooth. My main purpose of gaming is easily met. I have installed asphalt 9 and PUBG and playing without any lag for hours.Only problem I faced is the left corner of the screen shows a yellow tint. I read on the internet about it. It's because of the glue that sticks the screen together. It will fade away with time. Mine is started getting faded.I bought it in great Indian festive sale with effective price of 18990. This is in my opinion the best deal for an iPad with this specifications.
            ",positive
"Verdict: iPad 6th generation (2018) is a nice tablet with great hardware and software. For most of us, perhaps this is the best choice for a tablet. The only real competitor of this tablet is the iPad 10.5&#34;, which has better hardware but is much more expensive.Following is my detailed review of iPad 6th generation (2018):Hardware:--------------------No surprises here. Apple always makes great devices.- Build quality is good.- Touchscreen is excellent.- Front and back cameras are good but not exceptional.- Sound quality is decent, but it could have been better.- Battery backup is good.- Touch id works fine.- Improved CPU and GPU enhance the overall responsiceness of Apps (especially games)Software:--------------------iOS is simply outstanding. Software is the primary reason I purchase Apple devices. My device already had iOS 11.3 installed out of the box.Things I noticed in iOS 11:1. The dock at the bottom of the screen, which looks similar to the dock of macOS.2. Control center design has improved.3. App store has been revamped. Personally, I liked the simplicity of the old app store better.4. The software keyboard design has changed.What's included in the box:--------------------Only two accessories are included in the box:- A 10w charger- A lightening to usb cable.They have not even provided earphones:).Apple pencil is NOT included in the box.If you want one, then you will need to purchase separately which will cost you INR 7.5K. I did NOT purchase the apple pencil. I didn't want to spend this much money for the pencil and I don't think I would have used it much even if I had purchased one.Which variant did I choose:--------------------32 GB, Wifi only, Space Grey.32 GB: It is more than sufficient for my requirements. If you store lots of data then consider the 128GB variant.WiFi only: I have limited use case of 4G model and so I didn't want to spend extra 10K for 4G model.Space grey: I like black bezels. I find white bezels little bit distracting.Accessories I purchased:--------------------The only accessory I purchased is the Spigen Tough Armor Case. This case is good, but it is a somewhat heavy.Shipping and packaging:--------------------I purchased this device from seller &#34;Appario Retail Private Ltd&#34;. I ordered the device in the morning and I received in the evening. This was super-fast. The packaging was great.What are the alternatives of this iPad:--------------------There is hardly any choice if you want to buy a tablet. I think the closest competitor of this particular model is the 10.5&#34; iPad pro which is very costly as compared to this.Why did I purchase:--------------------I already have a 4th generation iPad which I purchased in 2013. My experience with this iPad has been great. Apple provided software updates on this device till last year (2017), which is amazing.So why did a purchase a new one? The old iPad still works fine but it doesn't get software updates anymore. In my opinion, it is best to move away from a device in which you do not get security updates.What do I use iPad for:--------------------I use iPad primarily for content consumption and not for conent creation. For example I don't compose long emails or edit videos on my iPad. I also don't use the camera of iPad much.I use iPad for:Watching videos: On Netflix, Hotstar, YouTube, Amazon Prime VideosWeb surfing: I use both Safari and Chrome. I like the &#34;reader view&#34; mode of SafariGames:Should you buy a new iPad:--------------------In my opinion, if you already have an iPad in which you are getting software updates then you should perhaps not buy a new one.If you want one and don’t already have one, then you can consider this. Except for the much more expensive iPad pro 10.5”, this is the best tablet currently available.Let me know if you have any queries.
            ",positive
"Best playing Pubg.
            ",positive
