Review,Nature
"This is a really awesome book. Author has written everything in very simple english. So you will find it easy to read the book. This book is mainly about management which in short means business. Even this is my first book. Start reading it from Preface. I am going through the book and finding it really interesting. All content in this book is from Arthashastra. The contents, language, explanation, etc are very good. If you're just starting out with reading books. You should go for this one.
            ",positive
"The book serves as a decent reference to apply concepts of arthshastra in the modern world. However I feel that several ideas were repeated through out the book. The contents could have been expressed in less than half of the pages.
            ",neutral
"I wanted to know about chanakya . What makes him a great strategist ? I was always searching for it. I hope this  book helped me to be become a leader.
            ",positive
"if you are some one who are thinking of some chanakya things like stories then you may be disappointed . these is the combination MBA lessons with Chanakya Styles. being the Plain languages I didnt Enjoy much the  book. So its not that suggetsable for students willing to buy this.
            ",negative
"Timeless Chanakya, practical solutions to everyday management problems. Helps people from all walks of life.
            ",positive
"this is a very good book to know about our ancient management guru's 'the chanakya' practical solution to all corporate problems.but i gave it 4 star just because of this book is too repetitive.lots of same thing written down by twisting it a little bit.
            ",positive
"I like this very much ,everyday I am referring to improve my managerial skills .It is more worth than a modern management books ,with simple paras ,very easy to understand .
            ",positive
"Book content is good. But book paper and printing quality is too bad, unable to read this book.
            ",negative
"Excellent book.
            ",positive
"This is a really awesome book. Author has written everything in very simple english. So you will find it easy to read the book. This book is mainly about management which in short means business. Even this is my first book. Start reading it from Preface. I am going through the book and finding it really interesting. All content in this book is from Arthashastra. The contents, language, explanation, etc are very good. If you're just starting out with reading books. You should go for this one.
            ",positive
"The book serves as a decent reference to apply concepts of arthshastra in the modern world. However I feel that several ideas were repeated through out the book. The contents could have been expressed in less than half of the pages.
            ",neutral
"I wanted to know about chanakya . What makes him a great strategist ? I was always searching for it. I hope this  book helped me to be become a leader.
            ",positive
"if you are some one who are thinking of some chanakya things like stories then you may be disappointed . these is the combination MBA lessons with Chanakya Styles. being the Plain languages I didnt Enjoy much the  book. So its not that suggetsable for students willing to buy this.
            ",negative
"Timeless Chanakya, practical solutions to everyday management problems. Helps people from all walks of life.
            ",positive
"this is a very good book to know about our ancient management guru's 'the chanakya' practical solution to all corporate problems.but i gave it 4 star just because of this book is too repetitive.lots of same thing written down by twisting it a little bit.
            ",positive
"I like this very much ,everyday I am referring to improve my managerial skills .It is more worth than a modern management books ,with simple paras ,very easy to understand .
            ",positive
"Book content is good. But book paper and printing quality is too bad, unable to read this book.
            ",negative
"Excellent book.
            ",positive
"Paper quality very very bad. Local newspaper paper quality batter than this book.
            ",negative
"Chanakya's wisdom simplified and is well explained by Dr. Radhakrishnan Pillai in this book. It's a must read for every Aspiring Entrepreneur.
            ",positive
"very very informative
            ",neutral
"Makes Sense
            ",neutral
"regret this buy.
            ",negative
"Perfect book for learning entrepreneurship in ancient way .. very useful at work place too luckily I was already applying few of the techniques
            ",positive
"Every Entrepreneur must read
            ",neutral
"Good
            ",positive
"It is definitely a good read for management aspirants, but I felt the content was somewhat obvious.
            ",positive
"Very Nice Book.
            ",positive
"This is a really awesome book. Author has written everything in very simple english. So you will find it easy to read the book. This book is mainly about management which in short means business. Even this is my first book. Start reading it from Preface. I am going through the book and finding it really interesting. All content in this book is from Arthashastra. The contents, language, explanation, etc are very good. If you're just starting out with reading books. You should go for this one.
            ",positive
"The book serves as a decent reference to apply concepts of arthshastra in the modern world. However I feel that several ideas were repeated through out the book. The contents could have been expressed in less than half of the pages.
            ",neutral
