Review,Nature
"This is very good hardware and speaker. However very much handicapped by amazon on software front. It can not understand your commands 70-80 percentage times and very limited to amazon music and saavn. However you can not use any of good music apps like wynk, gaana, youtube etc.Also natural language processing is supported in google products but not in this echo.For example when you say-1) where is agra - it gives you correct answer.2) continue with next query like how to reach there ?Then for 2nd query it doesn't know what to do..This is just an example but most of the times you will find this issue there.Then you can not connect with other populer music etc apps. Have to rely on what amazon thinks os good for you.Amazon music has very limited music base.So looking forward to get more access and integration with alexa however not have much hope since its already such an old plateform that they would have given support if there were any such plans.
            ",positive
"This was launched on 11th and I got the product by 12th. Plus the reduced price due to sale and a nice smart bulb for just 500 rupees. Overall I think this was super value for money. I haven't used any other smart speaker before but I am very happy with my purchase. Below are some observations :1. Initially it feels a bit weird talking to a speaker but you get used to it in no time.2. The sound quality is pretty good. You get good depth of sound with decent bass.3. Several skills available and you will definitely find some very useful. For example adding stuff to shopping list or setting up a reminder.4. Understands the Indian accent very well. Sometimes I am amazed by how well it picks up stuff.6. Kids love it. An added advantage is that they can take help for homework and talking to alexa also motivates them to talk in English
            ",positive
"It definitely has better speakers than Eco Dot Gen2 and Google Home Mini, but sound recognition is very poor compared to Google Home Mini or even previous Eco Dot. Maybe it has something to do with cost cutting and Amazon going with only 4 far field microphones instead of 7.But due to it's poor recognition, it takes a lot of time, sometimes even minutes and does nothing... Which definitely takes away the experience. Unfortunately I can't return it... But I think Google Home Mini is miles ahead and better with all the new updates to Google Assistant (Sleep assist and stuff).
            ",negative
"It's totally Paisa wasoolSpeaker is loudShe listen well to your commandI'm amazed with it music quality even when paired with mobile it plays loud but struggling to make a callHapppy me !
            ",negative
"Worst software!!! Not even 50% of answers were matched to my questions. Ask anything, it says I'm not sure about that. Not even songs are playing as per my command. After every song it stops. It's not going to the next one. For every command we need to say Alexa. Only advantage with this product is it have a great bass. Waste of money.I asked about today's news and it has the same answer - Sorry, I don't know about what you are asking.OK Google is far far far better than Alexa.Wanna share one funny moment with Alexa...I asked her to tell me about routers and switches and she started telling about sandwich... �
            ",positive
"The sound quality is amazing on this new echo dot. It has excellent bass which is great for music. Can also be used as Bluetooth speaker to play music from mobile without using internet.
            ",positive
"Rate of speech cannot be altered. Specially in bedtime stories. Children don't understand the fast English.Accent is pathetic.Kids can't understand the accent.It's a good music player but poor assistant.Many a times the MIC doesn work.The biggest problem is the search. criteria.  There is a lot of information which is on google that it deliberately does not pick.  It searches only from amazon search engine/wikipedia.
            ",negative
"This device does not have integration with Fire TV in INDIA ONLY !!.  So, if you don't have smart plug and smart switches then only thing you can do with this device is play music. not worth paying 3000 for getting voice command support for playing music only.
            ",negative
"This is very good hardware and speaker. However very much handicapped by amazon on software front. It can not understand your commands 70-80 percentage times and very limited to amazon music and saavn. However you can not use any of good music apps like wynk, gaana, youtube etc.Also natural language processing is supported in google products but not in this echo.For example when you say-1) where is agra - it gives you correct answer.2) continue with next query like how to reach there ?Then for 2nd query it doesn't know what to do..This is just an example but most of the times you will find this issue there.Then you can not connect with other populer music etc apps. Have to rely on what amazon thinks os good for you.Amazon music has very limited music base.So looking forward to get more access and integration with alexa however not have much hope since its already such an old plateform that they would have given support if there were any such plans.
            ",positive
"This was launched on 11th and I got the product by 12th. Plus the reduced price due to sale and a nice smart bulb for just 500 rupees. Overall I think this was super value for money. I haven't used any other smart speaker before but I am very happy with my purchase. Below are some observations :1. Initially it feels a bit weird talking to a speaker but you get used to it in no time.2. The sound quality is pretty good. You get good depth of sound with decent bass.3. Several skills available and you will definitely find some very useful. For example adding stuff to shopping list or setting up a reminder.4. Understands the Indian accent very well. Sometimes I am amazed by how well it picks up stuff.6. Kids love it. An added advantage is that they can take help for homework and talking to alexa also motivates them to talk in English
            ",positive
